,no,userid,version,sum_gameround,retention_1,retention_7
439,1050,116099,gate_40,19,1,0
440,1054,116382,gate_40,69,1,1
441,1057,116439,gate_40,14,1,0
442,1058,116590,gate_30,45,1,0
443,1060,116793,gate_40,275,1,1
444,1061,116828,gate_30,11,1,0
445,1062,117026,gate_30,317,1,0
446,1065,117242,gate_30,90,1,0
447,1066,117481,gate_30,15,1,0
448,1067,117700,gate_40,90,1,0
449,1070,117868,gate_30,190,1,0
450,1071,117918,gate_40,11,1,0
451,1072,117992,gate_30,142,1,1
452,1082,119231,gate_30,6,1,0
453,1084,119464,gate_30,2,1,0
454,1087,119742,gate_30,191,1,1
455,1091,120662,gate_40,8,1,1
456,1092,120664,gate_40,20,1,0
457,1097,121303,gate_30,1374,1,1
458,1103,122133,gate_30,3,1,0
459,1107,122533,gate_30,199,1,1
460,1108,122635,gate_30,24,1,0
461,1110,122817,gate_40,74,1,0
462,1111,122975,gate_30,197,1,1
463,1115,123121,gate_40,66,1,0
464,1116,123318,gate_40,48,1,0
465,1119,123638,gate_30,50,1,0
466,1121,123937,gate_40,39,1,0
467,1123,124022,gate_30,6,1,0
468,1127,124702,gate_30,93,1,1
469,1128,124729,gate_30,41,1,0
470,1130,124945,gate_30,16,1,0
471,1133,125058,gate_30,38,1,0
472,1134,125379,gate_30,91,1,1
473,1136,125523,gate_30,344,1,1
474,1139,125752,gate_30,2,1,0
475,1140,125925,gate_30,51,1,0
476,1142,125996,gate_40,33,1,1
477,1143,126043,gate_40,142,1,0
478,1144,126289,gate_30,44,1,0
479,1145,126418,gate_40,44,1,0
480,1146,126645,gate_30,222,1,1
481,1150,127428,gate_30,12,1,0
482,1151,127467,gate_40,15,1,0
483,1152,127487,gate_30,200,1,1
484,1153,127596,gate_40,6,1,0
485,1158,128079,gate_30,17,1,0
486,1160,128346,gate_30,43,1,0
487,1161,128355,gate_40,4,1,0
488,1165,128956,gate_30,60,1,0
489,1166,128989,gate_40,216,1,0
490,1167,129110,gate_40,42,1,0
491,1168,129131,gate_40,18,1,0
492,1176,129682,gate_30,12,1,0
493,1178,130176,gate_40,17,1,0
494,1179,130250,gate_40,13,1,0
495,1181,130271,gate_30,23,1,0
496,1184,130417,gate_40,36,1,1
497,1185,130572,gate_40,55,1,0
498,1186,130879,gate_30,159,1,1
499,1190,131358,gate_40,69,1,1
500,1191,131740,gate_30,74,1,0
501,1194,132330,gate_30,113,1,0
502,1198,132919,gate_40,36,1,0
503,1199,132928,gate_40,139,1,1
504,1200,132961,gate_40,79,1,0
505,1201,133088,gate_30,50,1,0
506,1203,133577,gate_30,331,1,1
507,1205,133854,gate_40,29,1,0
508,1207,134380,gate_40,117,1,0
509,1208,134381,gate_40,7,1,0
510,1212,134621,gate_40,40,1,0
511,1214,134763,gate_40,32,1,0
512,1215,134875,gate_40,10,1,0
513,1216,134885,gate_30,432,1,1
514,1218,134914,gate_30,8,1,0
515,1219,135084,gate_40,16,1,0
516,1220,135220,gate_40,148,1,1
517,1226,135693,gate_30,149,1,1
518,1238,136724,gate_40,9,1,0
519,1239,136945,gate_30,12,1,0
520,1244,137380,gate_40,43,1,1
521,1245,137445,gate_40,284,1,1
522,1246,137520,gate_30,9,1,0
523,1248,137570,gate_30,181,1,1
524,1249,137586,gate_40,21,1,0
525,1251,137865,gate_30,39,1,0
526,1252,137911,gate_40,19,1,1
527,1253,138070,gate_40,32,1,0
528,1254,138234,gate_30,75,1,1
529,1257,138392,gate_40,34,1,0
530,1258,138521,gate_30,4,1,0
531,1260,138622,gate_40,16,1,0
532,1261,138886,gate_30,59,1,1
533,1262,138891,gate_30,231,1,1
534,1268,139264,gate_30,311,1,1
535,1270,139581,gate_40,103,1,1
536,1273,140041,gate_30,70,1,1
537,1276,140468,gate_30,27,1,0
538,1279,140907,gate_30,81,1,0
539,1282,141163,gate_30,44,1,0
540,1284,141275,gate_30,12,1,0
541,1291,141967,gate_40,3,1,0
542,1293,142359,gate_40,66,1,1
543,1294,142413,gate_40,35,1,0
544,1295,142456,gate_40,9,1,0
545,1296,142665,gate_40,28,1,0
546,1297,142718,gate_30,29,1,0
547,1300,142985,gate_40,57,1,1
548,1302,143115,gate_40,13,1,1
549,1303,143123,gate_40,4,1,0
550,1306,143514,gate_30,15,1,0
551,1308,143939,gate_40,57,1,0
552,1312,144120,gate_30,52,1,0
553,1314,144287,gate_30,18,1,0
554,1319,144571,gate_40,87,1,1
555,1320,144664,gate_30,45,1,0
556,1323,145093,gate_40,25,1,0
557,1324,145225,gate_40,75,1,1
558,1325,145307,gate_40,22,1,1
559,1330,145852,gate_30,186,1,1
560,1332,145938,gate_30,53,1,0
561,1333,146150,gate_30,3,1,0
562,1336,146394,gate_30,2,1,0
563,1337,146502,gate_30,15,1,0
564,1338,146715,gate_40,134,1,1
565,1341,146898,gate_30,347,1,1
566,1344,147246,gate_40,95,1,0
567,1346,147334,gate_40,22,1,1
568,1349,147572,gate_40,18,1,1
569,1351,147685,gate_40,71,1,0
570,1353,147830,gate_40,12,1,1
571,1357,148166,gate_30,211,1,0
572,1364,148772,gate_40,30,1,0
573,1366,148974,gate_40,50,1,0
574,1371,149574,gate_30,60,1,0
575,1374,149721,gate_40,30,1,0
576,1375,149805,gate_40,35,1,1
577,1377,149896,gate_40,116,1,1
578,1378,150039,gate_30,503,1,0
579,1380,150076,gate_40,45,1,1
580,1381,150102,gate_40,74,1,0
581,1383,150398,gate_40,169,1,1
582,1387,150818,gate_40,43,1,0
583,1389,150861,gate_40,185,1,0
584,1393,151255,gate_40,15,1,0
585,1394,151297,gate_40,34,1,0
586,1395,151354,gate_30,27,1,0
587,1396,151367,gate_30,222,1,1
588,1399,151543,gate_40,20,1,0
589,1400,151588,gate_40,32,1,1
590,1402,151846,gate_30,20,1,0
591,1407,152596,gate_30,31,1,0
592,1409,152824,gate_40,62,1,0
593,1417,154098,gate_40,118,1,0
594,1418,154141,gate_40,24,1,0
595,1420,154254,gate_30,19,1,0
596,1422,154381,gate_40,18,1,0
597,1423,154392,gate_30,28,1,0
598,1424,154490,gate_40,117,1,1
599,1425,154535,gate_30,7,1,0
600,1426,154658,gate_40,37,1,0
601,1427,154666,gate_40,20,1,0
602,1430,155074,gate_30,9,1,0
603,1431,155505,gate_30,23,1,0
604,1433,155665,gate_40,87,1,0
605,1434,155726,gate_40,103,1,1
606,1438,155958,gate_40,25,1,0
607,1440,156220,gate_30,212,1,1
608,1442,156403,gate_40,31,1,0
609,1443,156485,gate_30,5,1,0
610,1444,156697,gate_30,762,1,1
611,1446,156852,gate_30,23,1,0
612,1454,157168,gate_40,32,1,0
613,1456,157553,gate_30,24,1,1
614,1457,157584,gate_30,62,1,0
615,1458,157624,gate_40,16,1,0
616,1459,157879,gate_40,313,1,1
617,1461,158094,gate_30,42,1,0
618,1463,158375,gate_40,16,1,0
619,1464,158459,gate_40,57,1,1
620,1466,158595,gate_40,33,1,0
621,1468,158679,gate_30,43,1,0
622,1470,158820,gate_40,294,1,0
623,1473,159050,gate_30,16,1,0
624,1477,159335,gate_40,17,1,0
625,1478,159569,gate_40,41,1,0
626,1483,159871,gate_40,141,1,0
627,1489,160191,gate_30,58,1,0
628,1490,160268,gate_30,384,1,1
629,1491,160315,gate_30,41,1,0
630,1493,160706,gate_30,32,1,0
631,1494,160982,gate_40,21,1,0
632,1496,161358,gate_40,12,1,0
633,1498,161945,gate_40,9,1,0
634,1501,162085,gate_30,253,1,1
635,1502,162166,gate_30,9,1,0
636,1503,162205,gate_30,35,1,1
637,1508,163067,gate_40,32,1,0
638,1509,163075,gate_40,93,1,1
639,1511,163195,gate_40,109,1,1
640,1513,163279,gate_40,79,1,0
641,1516,163689,gate_40,331,1,1
642,1518,163794,gate_30,12,1,0
643,1519,163912,gate_40,114,1,0
644,1521,164057,gate_40,30,1,0
645,1523,164319,gate_30,144,1,0
646,1525,164413,gate_30,64,1,0
647,1526,164652,gate_40,59,1,0
648,1527,164711,gate_30,6,1,0
649,1533,165565,gate_30,409,1,1
650,1534,165633,gate_30,45,1,0
651,1536,165807,gate_40,8,1,0
652,1539,165990,gate_40,28,1,0
653,1544,166402,gate_40,22,1,1
654,1549,166972,gate_40,83,1,0
655,1551,167120,gate_30,32,1,1
656,1557,167625,gate_40,37,1,0
657,1560,168191,gate_30,62,1,1
658,1564,168613,gate_30,21,1,0
659,1565,168648,gate_30,75,1,0
660,1570,169254,gate_30,327,1,0
661,1571,169278,gate_30,39,1,0
662,1573,169714,gate_30,4,1,0
663,1575,170045,gate_40,133,1,1
664,1577,170171,gate_30,379,1,1
665,1578,170172,gate_30,43,1,0
666,1580,170496,gate_30,68,1,0
667,1581,170502,gate_40,337,1,1
668,1586,171130,gate_30,9,1,0
669,1587,171285,gate_40,94,1,0
670,1588,171406,gate_30,470,1,1
671,1590,171875,gate_30,105,1,1
672,1594,172353,gate_30,15,1,0
673,1595,172381,gate_40,44,1,0
674,1596,172400,gate_40,6,1,0
675,1597,172857,gate_30,73,1,1
676,1598,173039,gate_30,32,1,0
677,1599,173129,gate_40,69,1,1
678,1600,173351,gate_40,27,1,0
679,1602,173478,gate_40,378,1,1
680,1604,173708,gate_40,288,1,1
681,1610,174304,gate_40,81,1,1
682,1611,174328,gate_30,33,1,1
683,1613,174807,gate_30,128,1,0
684,1618,175124,gate_30,7,1,0
685,1619,175200,gate_30,20,1,0
686,1620,175324,gate_40,13,1,0
687,1622,175561,gate_40,435,1,1
688,1624,175831,gate_40,138,1,0
689,1625,176021,gate_40,229,1,1
690,1628,176322,gate_30,8,1,0
691,1631,176813,gate_30,8,1,0
692,1632,176905,gate_30,19,1,0
693,1635,177328,gate_30,23,1,0
694,1636,177337,gate_40,10,1,0
695,1638,177454,gate_30,65,1,1
696,1640,177477,gate_40,36,1,0
697,1643,178129,gate_40,84,1,0
698,1644,178169,gate_40,13,1,0
699,1646,178260,gate_30,47,1,0
700,1647,178587,gate_40,75,1,0
701,1648,178610,gate_30,62,1,0
702,1652,179102,gate_30,210,1,1
703,1654,179221,gate_40,31,1,0
704,1656,179386,gate_40,27,1,0
705,1657,179551,gate_40,14,1,0
706,1659,179795,gate_30,402,1,1
707,1660,179891,gate_40,19,1,0
708,1661,179911,gate_30,174,1,1
709,1663,179959,gate_30,388,1,1
710,1664,180120,gate_40,114,1,1
711,1666,180683,gate_40,51,1,0
712,1668,180914,gate_30,255,1,1
713,1671,181212,gate_40,80,1,1
714,1681,182201,gate_30,320,1,1
715,1682,182272,gate_40,10,1,0
716,1683,182400,gate_30,20,1,0
717,1686,182550,gate_40,9,1,0
718,1688,183329,gate_30,46,1,1
719,1692,183758,gate_30,23,1,0
720,1696,184265,gate_40,28,1,0
721,1699,184871,gate_40,256,1,1
722,1701,185021,gate_30,17,1,0
723,1702,185056,gate_30,143,1,1
724,1703,185074,gate_40,12,1,0
725,1707,185512,gate_40,934,1,1
726,1708,185666,gate_40,292,1,1
727,1710,185735,gate_30,1,1,0
728,1712,185984,gate_30,41,1,0
729,1714,186070,gate_40,32,1,0
730,1715,186071,gate_30,48,1,0
731,1721,186621,gate_40,43,1,0
732,1722,186768,gate_40,33,1,0
733,1725,187084,gate_30,69,1,0
734,1727,187424,gate_40,15,1,0
735,1733,188134,gate_40,3,1,0
736,1738,188813,gate_30,27,1,0
737,1740,189024,gate_40,2,1,0
738,1741,189066,gate_40,61,1,0
739,1742,189098,gate_30,35,1,0
740,1744,189116,gate_30,129,1,0
741,1746,189473,gate_30,16,1,0
742,1747,189553,gate_40,13,1,0
743,1749,189970,gate_40,104,1,0
744,1751,190151,gate_30,36,1,0
745,1752,190211,gate_30,11,1,0
746,1753,190226,gate_40,63,1,0
747,1756,190421,gate_40,294,1,1
748,1757,190424,gate_30,2,1,0
749,1758,190570,gate_30,7,1,0
750,1759,190691,gate_30,38,1,0
751,1762,190832,gate_40,64,1,1
752,1768,191259,gate_30,155,1,1
753,1771,191440,gate_30,56,1,0
754,1774,192199,gate_30,12,1,0
755,1776,192338,gate_30,57,1,0
756,1777,192398,gate_30,41,1,1
757,1778,192424,gate_40,181,1,1
758,1779,192506,gate_40,65,1,0
759,1785,193226,gate_30,89,1,1
760,1786,193252,gate_30,34,1,0
761,1788,193423,gate_30,24,1,0
762,1789,193471,gate_40,20,1,0
763,1791,193660,gate_30,2,1,0
764,1792,194165,gate_40,6,1,0
765,1793,194177,gate_40,22,1,0
766,1794,194208,gate_30,37,1,0
767,1795,194228,gate_30,28,1,0
768,1797,195031,gate_30,153,1,0
769,1798,195134,gate_30,33,1,0
770,1799,195218,gate_40,6,1,0
771,1802,195673,gate_30,89,1,1
772,1803,195721,gate_30,9,1,0
773,1805,195806,gate_30,30,1,0
774,1807,196073,gate_30,53,1,1
775,1808,196293,gate_40,133,1,1
776,1809,196344,gate_30,217,1,1
777,1811,196526,gate_40,6,1,0
778,1817,197645,gate_30,6,1,0
779,1818,197765,gate_40,39,1,0
780,1821,197915,gate_30,299,1,1
781,1822,198005,gate_40,99,1,0
782,1826,198256,gate_40,17,1,0
783,1827,198271,gate_30,1,1,0
784,1830,198473,gate_40,39,1,0
785,1832,198750,gate_40,41,1,1
786,1834,198901,gate_30,35,1,0
787,1835,198914,gate_40,14,1,0
788,1837,199083,gate_30,4,1,0
789,1839,199739,gate_40,196,1,0
790,1840,199869,gate_30,284,1,1
791,1842,199929,gate_40,59,1,1
792,1843,200006,gate_30,18,1,0
793,1844,200073,gate_30,21,1,0
794,1846,200398,gate_40,88,1,1
795,1847,200463,gate_40,393,1,1
796,1848,200499,gate_40,159,1,0
797,1849,200587,gate_30,40,1,1
798,1850,200615,gate_40,15,1,0
799,1854,201194,gate_40,35,1,0
800,1855,201344,gate_30,32,1,0
801,1857,201516,gate_30,37,1,0
802,1858,201538,gate_40,20,1,0
803,1860,201766,gate_30,34,1,1
804,1866,202542,gate_30,26,1,0
805,1875,203427,gate_40,40,1,1
806,1876,203446,gate_40,61,1,0
807,1877,203623,gate_40,123,1,0
808,1880,203804,gate_30,85,1,0
809,1881,203880,gate_40,23,1,0
810,1883,203970,gate_40,18,1,0
811,1885,204018,gate_40,33,1,0
812,1888,204106,gate_40,91,1,0
813,1889,204229,gate_40,17,1,0
814,1891,204251,gate_30,750,1,1
815,1892,204307,gate_30,36,1,0
816,1898,204870,gate_40,16,1,0
817,1901,205112,gate_40,459,1,1
818,1902,205146,gate_40,261,1,1
819,1905,205475,gate_40,109,1,1
820,1906,205674,gate_40,35,1,0
821,1907,205840,gate_30,49,1,0
822,1908,205855,gate_30,169,1,1
823,1909,205881,gate_30,45,1,0
824,1910,205938,gate_30,29,1,0
825,1912,205965,gate_30,11,1,0
826,1913,206431,gate_40,208,1,1
827,1917,206963,gate_30,23,1,0
828,1918,206979,gate_30,35,1,0
829,1919,207006,gate_40,8,1,0
830,1921,207142,gate_30,70,1,0
